sample-1,,sample -2,,sample-3,,sample-4,
var,logFC,var,logFC,var,logFC,var,logFC
hsa-miR-5580-3p,-0.01478619,hsa-miR-2467-3p,0.012795149,hsa-miR-197-5p,-0.108383524,hsa-miR-4539,-0.017801042
hsa-miR-26a-2-3p,-0.014183273,hsa-miR-4516,0.074233,hsa-miR-6736-3p,-0.014705477,hsa-miR-5189-3p,-0.027949928
hsa-miR-4259,-0.013130899,hsa-miR-4324,-0.01077169,hsa-miR-211-5p,0.015006055,hsa-miR-26a-2-3p,-0.014143992
hsa-miR-4539,-0.013714665,hsa-miR-99b-5p,0.025662572,hsa-miR-3156-5p,-0.04619371,hsa-miR-6795-3p,0.018305972
hsa-miR-5003-3p,-0.012526868,hsa-miR-3682-5p,0.010913116,hsa-miR-1273f,0.041393629,hsa-miR-1208,-0.01254987
hsa-miR-6082,0.013575931,hsa-miR-6821-5p,0.039591091,hsa-miR-3682-5p,0.016962377,hsa-miR-6832-3p,-0.01095855
hsa-miR-3605-5p,-0.014505699,hsa-miR-4270,0.023973689,hsa-miR-4433a-5p,0.034558132,hsa-miR-6082,0.013065279
hsa-miR-7109-3p,-0.011647519,hsa-miR-4281,0.05455791,hsa-miR-6127,-0.086590549,hsa-miR-4740-3p,-0.011554216
hsa-miR-1273h-5p,-0.013010938,hsa-miR-6090,0.058676026,hsa-miR-4436b-5p,0.037387707,hsa-miR-132-3p,-0.048072482
hsa-miR-4540,-0.011043995,hsa-miR-4743-5p,-0.012848285,hsa-miR-3180-5p,0.027379714,hsa-miR-365b-5p,0.011736719
hsa-miR-2467-3p,-0.011037413,hsa-miR-6752-5p,0.012192342,hsa-miR-4323,0.02250153,hsa-miR-6862-3p,-0.010549133
hsa-miR-4290,-0.021480811,hsa-miR-4694-5p,-0.008137132,hsa-miR-7974,0.031204643,hsa-let-7b-5p,-0.131427311
hsa-miR-4644,-0.014339854,hsa-miR-1225-5p,0.029958968,hsa-miR-6771-3p,-0.013961011,hsa-miR-6879-3p,-0.010369266
hsa-miR-6754-3p,-0.010252364,hsa-miR-1229-5p,0.017775704,hsa-miR-494-3p,0.13108378,hsa-miR-4749-5p,-0.010524041
hsa-miR-5189-5p,0.011531886,hsa-miR-4763-3p,0.049991803,hsa-miR-940,0.044478832,hsa-miR-1296-5p,-0.01084826
hsa-miR-6732-5p,0.023361696,hsa-miR-3609,0.010395818,hsa-miR-933,0.022959407,hsa-miR-2467-3p,-0.010571616
hsa-miR-6792-5p,0.010753056,hsa-miR-6796-5p,0.009167474,hsa-miR-6129,0.018456079,hsa-miR-4510,-0.023852224
hsa-miR-4483,0.01034741,hsa-miR-365b-5p,-0.009169844,hsa-miR-3150b-5p,0.023078409,hsa-miR-5580-3p,-0.010382959
hsa-miR-1261,-0.01189947,hsa-miR-1202,0.023795389,hsa-miR-4685-3p,-0.01411875,hsa-miR-6751-5p,-0.009942954
hsa-miR-8087,-0.009401823,hsa-miR-4489,-0.012795896,hsa-miR-198,0.01436357,hsa-miR-296-5p,0.014358635
hsa-miR-4650-5p,0.009447256,hsa-miR-4796-5p,0.00851698,hsa-miR-602,0.025876106,hsa-miR-5700,-0.010639544
hsa-miR-483-3p,-0.015626737,hsa-miR-6749-5p,0.02589322,hsa-miR-4787-3p,0.033892596,hsa-miR-5189-5p,0.011135488
hsa-miR-1296-5p,-0.01007725,hsa-miR-4534,0.012878922,hsa-miR-92b-3p,0.028494018,hsa-miR-6880-3p,0.014083779
hsa-miR-133b,0.013730001,hsa-miR-668-3p,0.0082509,hsa-miR-1229-3p,0.018236926,hsa-miR-575,0.026081917
hsa-miR-670-5p,-0.012265916,hsa-miR-6861-5p,0.008510759,hsa-miR-191-3p,0.034689741,hsa-miR-6867-3p,-0.009316587
hsa-miR-4639-3p,0.009286425,hsa-miR-6723-5p,0.008883798,hsa-miR-4444,-0.013177253,hsa-miR-4731-3p,0.013133535
hsa-miR-4514,-0.009826964,hsa-miR-6831-3p,0.007707179,hsa-miR-6816-3p,0.012260799,hsa-miR-6511a-3p,-0.010544916
hsa-miR-574-3p,-0.05907253,hsa-miR-551a,-0.007383308,hsa-miR-4745-5p,-0.01367027,hsa-miR-7109-3p,-0.00921037
hsa-miR-132-3p,-0.039405496,hsa-miR-4443,0.074208214,hsa-miR-4758-3p,0.027292303,hsa-miR-6754-3p,-0.009280509
hsa-miR-1291,-0.009279105,hsa-miR-6790-3p,0.009489758,hsa-miR-33b-3p,0.031972308,hsa-miR-411-3p,-0.008849409
hsa-miR-6862-3p,-0.0091133,hsa-miR-519e-3p,-0.008532501,hsa-miR-550a-5p,0.028732937,hsa-miR-4259,-0.009524315
